order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO43697,,6306.0,2010-12-29,2011-01-05,2011-01-10,3578.0,1.0,3578.0
SO43698,,,2010-12-29,2011-01-05,2011-01-10,3400.0,1.0,3400.0
SO43699,,10401.0,2010-12-29,2011-01-05,2011-01-10,3400.0,1.0,3400.0
SO43700,,,2010-12-29,2011-01-05,2011-01-10,699.0,1.0,699.0
SO43701,,4.0,2010-12-29,2011-01-05,2011-01-10,3400.0,1.0,3400.0
SO43702,,12183.0,2010-12-30,2011-01-06,2011-01-11,3578.0,1.0,3578.0
SO43703,,1162.0,2010-12-30,2011-01-06,2011-01-11,3578.0,1.0,3578.0
SO43704,,6.0,2010-12-30,2011-01-06,2011-01-11,3375.0,1.0,3375.0
SO43705,,12.0,2010-12-30,2011-01-06,2011-01-11,3400.0,1.0,3400.0
SO43706,,12159.0,2010-12-31,2011-01-07,2011-01-12,3578.0,1.0,3578.0
SO43707,,12154.0,2010-12-31,2011-01-07,2011-01-12,3578.0,1.0,3578.0
SO43708,,4580.0,2010-12-31,2011-01-07,2011-01-12,699.0,1.0,699.0
SO43709,,889.0,2010-12-31,2011-01-07,2011-01-12,3578.0,1.0,3578.0
SO43710,,1055.0,2010-12-31,2011-01-07,2011-01-12,3578.0,1.0,3578.0
SO43711,,12144.0,2011-01-01,2011-01-08,2011-01-13,3578.0,1.0,3578.0
SO43712,,,2011-01-01,2011-01-08,2011-01-13,3578.0,1.0,3578.0
SO43713,,12139.0,2011-01-02,2011-01-09,2011-01-14,3578.0,1.0,3578.0
SO43714,,,2011-01-02,2011-01-09,2011-01-14,3578.0,1.0,3578.0
SO43715,,1021.0,2011-01-02,2011-01-09,2011-01-14,3578.0,1.0,3578.0
SO43716,,1067.0,2011-01-02,2011-01-09,2011-01-14,3578.0,1.0,3578.0
SO43717,,9787.0,2011-01-02,2011-01-09,2011-01-14,699.0,1.0,699.0
SO43718,,12206.0,2011-01-03,2011-01-10,2011-01-15,3578.0,1.0,3578.0
SO43719,,12150.0,2011-01-03,2011-01-10,2011-01-15,3578.0,1.0,3578.0
SO43720,,,2011-01-03,2011-01-10,2011-01-15,3578.0,1.0,3578.0
SO43721,,,2011-01-03,2011-01-10,2011-01-15,3578.0,1.0,3578.0
SO43722,,,2011-01-04,2011-01-11,2011-01-16,3578.0,1.0,3578.0
SO43723,,,2011-01-04,2011-01-11,2011-01-16,699.0,1.0,699.0
SO43724,,1058.0,2011-01-04,2011-01-11,2011-01-16,3578.0,1.0,3578.0
SO43725,,,2011-01-05,2011-01-12,2011-01-17,3578.0,1.0,3578.0
SO43726,,,2011-01-05,2011-01-12,2011-01-17,699.0,1.0,699.0
SO43727,,1145.0,2011-01-05,2011-01-12,2011-01-17,3578.0,1.0,3578.0
