order_number,order_date,sales_amount,quantity,price,category,country,customer_id,shipping_days
SO43697,2010-12-29,3578.0,1.0,3578.0,,Canada,AW00021768,7.0
SO43698,2010-12-29,3400.0,1.0,3400.0,,,,7.0
SO43699,2010-12-29,3400.0,1.0,3400.0,,United States,AW00025863,7.0
SO43700,2010-12-29,699.0,1.0,699.0,,,,7.0
SO43701,2010-12-29,3400.0,1.0,3400.0,,Australia,AW00011003,7.0
SO43702,2010-12-30,3578.0,1.0,3578.0,,United States,AW00027645,7.0
SO43703,2010-12-30,3578.0,1.0,3578.0,,Australia,AW00016624,7.0
SO43704,2010-12-30,3375.0,1.0,3375.0,,Australia,AW00011005,7.0
SO43705,2010-12-30,3400.0,1.0,3400.0,,Australia,AW00011011,7.0
SO43706,2010-12-31,3578.0,1.0,3578.0,,United States,AW00027621,7.0
SO43707,2010-12-31,3578.0,1.0,3578.0,,United States,AW00027616,7.0
SO43708,2010-12-31,699.0,1.0,699.0,,United Kingdom,AW00020042,7.0
SO43709,2010-12-31,3578.0,1.0,3578.0,,Australia,AW00016351,7.0
SO43710,2010-12-31,3578.0,1.0,3578.0,,Australia,AW00016517,7.0
SO43711,2011-01-01,3578.0,1.0,3578.0,,United States,AW00027606,7.0
SO43712,2011-01-01,3578.0,1.0,3578.0,,,,7.0
SO43713,2011-01-02,3578.0,1.0,3578.0,,United States,AW00027601,7.0
SO43714,2011-01-02,3578.0,1.0,3578.0,,,,7.0
SO43715,2011-01-02,3578.0,1.0,3578.0,,Australia,AW00016483,7.0
SO43716,2011-01-02,3578.0,1.0,3578.0,,Australia,AW00016529,7.0
SO43717,2011-01-02,699.0,1.0,699.0,,Australia,AW00025249,7.0
SO43718,2011-01-03,3578.0,1.0,3578.0,,United States,AW00027668,7.0
SO43719,2011-01-03,3578.0,1.0,3578.0,,United States,AW00027612,7.0
SO43720,2011-01-03,3578.0,1.0,3578.0,,,,7.0
SO43721,2011-01-03,3578.0,1.0,3578.0,,,,7.0
SO43722,2011-01-04,3578.0,1.0,3578.0,,,,7.0
SO43723,2011-01-04,699.0,1.0,699.0,,,,7.0
SO43724,2011-01-04,3578.0,1.0,3578.0,,Australia,AW00016520,7.0
SO43725,2011-01-05,3578.0,1.0,3578.0,,,,7.0
SO43726,2011-01-05,699.0,1.0,699.0,,,,7.0
SO43727,2011-01-05,3578.0,1.0,3578.0,,Australia,AW00016607,7.0
SO43728,2011-01-06,3578.0,1.0,3578.0,,United States,AW00027666,7.0
SO43729,2011-01-06,3400.0,1.0,3400.0,,,,7.0
